match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_graph_control_vs_monte_carlo_rep0,9,1000,80-100%,0.992,False,7,1000000011.2879467,349927109.9679105,1,7,False,False,False,False,both,,,0.0014695420395582914,0.0007011260604485869,7.104198448359966e-05,0.00010795798152685165
D1000_seed0_graph_control_vs_monte_carlo_rep0,11,1000,80-100%,0.99,False,7,0.7505146824834856,0.29263303163449345,1,7,False,False,True,True,local_only,,,0.0015660410281270742,0.0007007078966125846,8.074799552559853e-05,0.000126166851259768
D1000_seed0_graph_control_vs_monte_carlo_rep0,13,1000,80-100%,0.988,False,8,1000000011.4621476,330718917.5158215,1,8,False,False,False,False,both,,,0.0016817499417811632,0.0007912090513855219,8.224975317716599e-05,0.00012466812040656805
D1000_seed0_graph_control_vs_monte_carlo_rep1,1,1000,80-100%,1.0,False,640,1000000015.1291957,265896004.33097914,1,92,False,False,False,False,both,,,0.12139245902653784,0.05025825451593846,0.005936858942732215,0.009037868469022214
D1000_seed0_graph_control_vs_monte_carlo_rep1,3,1000,80-100%,0.998,False,12,1000000011.1792594,276385402.1341213,1,12,False,False,False,False,both,True,False,0.0026450830046087503,0.0011834580218419433,0.00012725067790597677,0.0002076671225950122
D1000_seed0_graph_control_vs_monte_carlo_rep1,5,1000,80-100%,0.996,False,11,1000000011.0495604,287479790.33335304,1,11,False,False,False,False,both,,,0.0023705409839749336,0.0011020428501069546,0.00011454231571406126,0.00018887699116021395
D1000_seed0_graph_control_vs_monte_carlo_rep1,7,1000,80-100%,0.994,False,2,2.3829729517125138,1.1914864758562569,1,2,False,False,True,True,both,,,0.0004750409862026572,0.00019987404812127352,2.5748973712325096e-05,2.7957954443991184e-05
D1000_seed0_graph_control_vs_monte_carlo_rep1,9,1000,80-100%,0.992,False,9,1000000011.4772323,314269683.9824344,1,9,False,False,False,False,both,,,0.0019456660374999046,0.0009204180678352714,9.408302139490843e-05,0.00014591810759156942
D1000_seed0_graph_control_vs_minimax_rep0,1,1000,80-100%,1.0,False,640,1000000015.1291957,265896004.33097914,1,92,False,False,False,False,both,,,0.12199541693553329,0.05063841154333204,0.006340139429084957,0.009102948242798448
D1000_seed0_graph_control_vs_minimax_rep0,3,1000,80-100%,0.998,False,12,1000000011.1792594,276385402.1341213,1,12,False,False,False,False,both,,,0.002688958076760173,0.0012016250984743237,0.00012795988004654646,0.0002076252130791545
D1000_seed0_graph_control_vs_minimax_rep0,5,1000,80-100%,0.996,False,2,0.2794152423614982,0.1397076211807491,1,2,False,False,True,True,local_only,True,True,0.0004682909930124879,0.0002054170472547412,2.3875036276876926e-05,3.491796087473631e-05
D1000_seed0_graph_control_vs_minimax_rep0,7,1000,80-100%,0.994,False,7,1.0224507726375016,0.3393542647545992,1,7,False,False,True,True,local_only,,,0.0015894999960437417,0.0006974170682951808,8.137593977153301e-05,0.00013408414088189602
D1000_seed0_graph_control_vs_minimax_rep0,9,1000,80-100%,0.992,False,4,1000000010.8218796,433012706.4294908,1,4,False,False,False,False,both,,,0.0008685840293765068,0.00040324986912310123,4.012603312730789e-05,6.48329732939601e-05
D1000_seed0_graph_control_vs_minimax_rep0,11,1000,80-100%,0.99,False,6,0.9227378682891221,0.2736779824677665,1,6,False,False,True,True,local_only,,,0.001553167006932199,0.000630541006103158,7.700116839259863e-05,0.0001559159718453884
D1000_seed0_graph_control_vs_minimax_rep0,13,1000,80-100%,0.988,False,4,0.6273672273824484,0.23482922324749628,1,4,False,False,True,True,local_only,,,0.0010357910068705678,0.0004258339758962393,5.287490785121918e-05,8.795899339020252e-05
D1000_seed0_graph_control_vs_minimax_rep0,15,1000,80-100%,0.986,False,8,1000000012.5194006,330718917.55562806,1,8,False,False,False,False,both,,,0.0018037500558421016,0.0008392900926992297,8.995772805064917e-05,0.0001259170239791274
D1000_seed0_graph_control_vs_minimax_rep0,17,1000,80-100%,0.984,False,1,0.0,0.0,1,1,True,False,True,True,neither,True,True,0.0002519580302760005,0.00010562501847743988,1.53339933604002e-05,2.025009598582983e-05
