match_id,turn,risk_level,root_candidate_count,nodes_searched,elapsed_time_sec,null_window_searches,research_count,research_rate,had_research
D3000_seed0_greedy_vs_pvs,4,danger,4,1776,0.110869,1372,15,0.010932944606413994,True
D3000_seed0_greedy_vs_pvs,6,normal,21,6694,0.481768,5036,30,0.005957108816521049,True
D3000_seed0_greedy_vs_pvs,8,caution,11,5478,0.391781,3998,35,0.008754377188594297,True
D3000_seed0_greedy_vs_pvs,10,normal,11,1729,0.107147,1345,10,0.007434944237918215,True
D3000_seed0_greedy_vs_pvs,12,normal,12,1715,0.102347,1318,13,0.009863429438543247,True
D3000_seed0_greedy_vs_pvs,14,normal,10,2308,0.143055,1775,22,0.012394366197183098,True
D3000_seed0_greedy_vs_pvs,16,danger,3,1927,0.10459,1409,18,0.0127750177430802,True
D3000_seed0_greedy_vs_pvs,18,near_death,2,795,0.046655,558,9,0.016129032258064516,True
D3000_seed0_greedy_vs_pvs,20,caution,9,2275,0.13558,1600,10,0.00625,True
D3000_seed0_greedy_vs_pvs,22,normal,12,1223,0.066657,900,15,0.016666666666666666,True
D3000_seed0_greedy_vs_pvs,24,normal,23,2092,0.099746,1333,39,0.029257314328582147,True
D3000_seed0_greedy_vs_pvs,26,normal,10,118,0.006135,75,0,0.0,False
D3000_seed0_alpha_beta_vs_pvs,2,near_death,2,2892,0.339386,2171,23,0.010594196222938737,True
D3000_seed0_alpha_beta_vs_pvs,4,danger,4,2225,0.146978,1679,18,0.01072066706372841,True
D3000_seed0_alpha_beta_vs_pvs,6,caution,11,1420,0.118539,1019,13,0.012757605495583905,True
D3000_seed0_alpha_beta_vs_pvs,8,danger,3,471,0.046508,305,5,0.01639344262295082,True
D3000_seed0_alpha_beta_vs_pvs,10,normal,25,593,0.043795,321,4,0.012461059190031152,True
D3000_seed0_alpha_beta_vs_pvs,12,normal,15,556,0.047868,309,10,0.032362459546925564,True
D3000_seed0_alpha_beta_vs_pvs,14,normal,24,701,0.054479,370,10,0.02702702702702703,True
D3000_seed0_alpha_beta_vs_pvs,16,normal,14,695,0.05591,368,10,0.02717391304347826,True
D3000_seed0_alpha_beta_vs_pvs,18,caution,9,624,0.047702,369,11,0.02981029810298103,True
D3000_seed0_alpha_beta_vs_pvs,20,normal,23,741,0.045044,357,13,0.036414565826330535,True
D3000_seed0_alpha_beta_vs_pvs,22,normal,22,796,0.05799,439,12,0.02733485193621868,True
D3000_seed0_alpha_beta_vs_pvs,24,normal,21,116,0.005763,42,0,0.0,False
D3000_seed0_alpha_beta_vs_pvs,26,near_death,1,77,0.003658,34,0,0.0,False
D3000_seed0_beam_negamax_vs_pvs,2,near_death,2,2892,0.169152,2171,23,0.010594196222938737,True
D3000_seed0_beam_negamax_vs_pvs,4,caution,7,1418,0.089458,1090,10,0.009174311926605505,True
D3000_seed0_beam_negamax_vs_pvs,6,normal,9,1196,0.076377,923,2,0.0021668472372697724,True
