match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,all_candidate_score_range_including_terminal,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_graph_control_vs_minimax_rep0,23,1000,80-100%,0.978,False,20,3.7843958233067347,0.7503283884580979,1,19,False,1000000013.9018265,False,False,False,both,False,False,0.004400333040393889,0.002021375927142799,0.00022895797155797482,0.0003614998422563076
D1000_seed0_graph_control_vs_minimax_rep0,25,1000,80-100%,0.976,False,4,0.6819970503196551,0.24751321087526923,1,4,False,0.6819970503196551,False,True,True,local_only,True,True,0.0010397079167887568,0.00041833403520286083,5.1875016652047634e-05,7.433199789375067e-05
D1000_seed0_graph_control_vs_alpha_beta_rep0,1,1000,80-100%,1.0,False,640,5.228282950672865,0.7044603582312916,1,91,False,1000000015.1291957,False,False,False,both,False,False,0.13133062492124736,0.05395715590566397,0.006551702972501516,0.009964214754290879
D1000_seed0_graph_control_vs_alpha_beta_rep0,3,1000,80-100%,0.998,False,8,0.7165507867645147,0.2858721793635851,1,8,False,0.7165507867645147,False,True,True,local_only,False,False,0.0021163750207051635,0.0008410830050706863,9.878992568701506e-05,0.00015095924027264118
D1000_seed0_graph_control_vs_alpha_beta_rep0,5,1000,80-100%,0.996,False,7,1.186151355116289,0.3518505429888044,1,7,False,1.186151355116289,False,True,True,local_only,False,True,0.001707834075205028,0.0007302932208403945,8.97508580237627e-05,0.00013275083620101213
D1000_seed0_graph_control_vs_alpha_beta_rep0,7,1000,80-100%,0.994,False,4,2.4794838251347695,0.9896151619926641,1,4,False,2.4794838251347695,False,True,True,local_only,True,False,0.0010669579496607184,0.00042608403600752354,5.312520079314709e-05,7.904204539954662e-05
D1000_seed0_graph_control_vs_alpha_beta_rep0,9,1000,80-100%,0.992,False,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.0002555829705670476,0.00010662490967661142,1.49579718708992e-05,2.0249979570508003e-05
D1000_seed0_graph_control_vs_alpha_beta_rep0,11,1000,80-100%,0.99,False,7,0.7972520369029326,0.29338754731864003,1,6,False,1000000011.2886262,False,False,False,both,False,True,0.0016558750066906214,0.000719791161827743,7.558276411145926e-05,0.00011470878962427378
D1000_seed0_graph_control_vs_alpha_beta_rep0,13,1000,80-100%,0.988,False,4,0.6146321792346203,0.22787116780279612,1,4,False,0.6146321792346203,False,True,True,local_only,True,True,0.001008374965749681,0.0004148329608142376,5.166581831872463e-05,8.47929622977972e-05
D1000_seed0_graph_control_vs_alpha_beta_rep0,15,1000,80-100%,0.986,False,5,2.2676486937583746,0.8308727598512745,1,5,False,2.2676486937583746,False,True,True,local_only,True,False,0.0011984999291598797,0.0005164158064872026,6.0625141486525536e-05,9.608396794646978e-05
