dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
75,4,ふ,3,0,0,0,0.000000
75,4,ほ,2,0,0,0,0.000000
75,4,ま,2,0,0,0,0.000000
75,4,み,2,0,0,0,0.000000
75,4,む,0,1,1,1,1.000000
75,4,め,2,1,0,1,0.000000
75,4,ゆ,0,2,2,2,1.000000
75,4,よ,1,1,1,1,1.000000
75,4,ら,0,2,2,2,1.000000
75,4,り,0,1,1,1,1.000000
75,4,る,0,5,5,5,1.000000
75,4,れ,0,1,1,1,1.000000
75,4,ろ,1,0,0,0,0.000000
75,4,わ,0,1,1,1,1.000000
75,4,ん,0,10,0,10,0.000000
75,4,ゔ,1,0,0,0,0.000000
100,0,あ,2,1,0,1,0.000000
100,0,い,1,13,1,13,0.076923
100,0,う,2,9,9,9,1.000000
100,0,え,0,1,1,1,1.000000
100,0,お,4,0,0,0,0.000000
100,0,か,9,1,0,1,0.000000
100,0,が,1,0,0,0,0.000000
100,0,き,1,1,1,1,1.000000
100,0,ぎ,1,0,0,0,0.000000
100,0,く,3,7,0,7,0.000000
100,0,ぐ,1,2,2,2,1.000000
100,0,け,1,1,1,1,1.000000
100,0,こ,1,1,1,1,1.000000
100,0,ご,2,0,0,0,0.000000
100,0,さ,3,0,0,0,0.000000
100,0,し,7,1,0,1,0.000000
100,0,じ,4,1,0,1,0.000000
100,0,す,1,2,2,2,1.000000
100,0,ず,0,2,2,2,1.000000
100,0,せ,4,1,0,1,0.000000
100,0,そ,2,1,0,1,0.000000
100,0,た,4,2,0,2,0.000000
100,0,だ,2,0,0,0,0.000000
100,0,ち,2,1,0,1,0.000000
100,0,つ,0,3,3,3,1.000000
100,0,て,2,0,0,0,0.000000
100,0,と,0,3,3,3,1.000000
100,0,ど,2,4,4,4,1.000000
100,0,な,2,0,0,0,0.000000
100,0,に,1,0,0,0,0.000000
100,0,の,1,0,0,0,0.000000
100,0,は,1,0,0,0,0.000000
100,0,ば,1,1,1,1,1.000000
100,0,ぱ,1,0,0,0,0.000000
100,0,ひ,1,0,0,0,0.000000
100,0,ふ,4,0,0,0,0.000000
100,0,ぶ,1,4,0,4,0.000000
100,0,ぷ,1,2,2,2,1.000000
100,0,へ,1,0,0,0,0.000000
100,0,ほ,2,0,0,0,0.000000
100,0,ぼ,1,0,0,0,0.000000
100,0,ま,3,1,0,1,0.000000
100,0,み,1,0,0,0,0.000000
100,0,む,3,1,0,1,0.000000
100,0,め,3,1,0,1,0.000000
100,0,も,2,1,0,1,0.000000
100,0,や,1,3,3,3,1.000000
100,0,ゆ,1,1,0,1,0.000000
100,0,よ,1,1,0,1,0.000000
100,0,り,2,3,0,3,0.000000
100,0,る,0,7,7,7,1.000000
100,0,れ,0,2,2,2,1.000000
100,0,ろ,1,0,0,0,0.000000
100,0,わ,2,0,0,0,0.000000
100,0,ん,0,14,0,14,0.000000
100,1,あ,3,4,0,4,0.000000
100,1,い,8,14,0,14,0.000000
100,1,う,1,11,11,11,1.000000
100,1,え,0,2,2,2,1.000000
100,1,お,1,1,1,1,1.000000
100,1,か,4,2,2,2,1.000000
100,1,が,1,0,0,0,0.000000
100,1,き,2,3,3,3,1.000000
100,1,く,1,10,1,10,0.100000
100,1,け,0,1,1,1,1.000000
100,1,げ,0,1,1,1,1.000000
100,1,こ,5,1,1,1,1.000000
100,1,ご,1,0,0,0,0.000000
100,1,さ,1,0,0,0,0.000000
100,1,し,10,1,0,1,0.000000
100,1,じ,2,0,0,0,0.000000
100,1,す,0,3,3,3,1.000000
100,1,せ,2,0,0,0,0.000000
100,1,ぜ,1,0,0,0,0.000000
100,1,そ,1,1,1,1,1.000000
100,1,ぞ,1,0,0,0,0.000000
100,1,た,1,0,0,0,0.000000
100,1,ち,2,2,0,2,0.000000
100,1,つ,1,4,0,4,0.000000
100,1,て,1,0,0,0,0.000000
100,1,で,1,1,1,1,1.000000
100,1,と,4,2,0,2,0.000000
100,1,ど,1,1,0,1,0.000000
100,1,な,3,0,0,0,0.000000
100,1,に,2,1,1,1,1.000000
100,1,ね,2,0,0,0,0.000000
100,1,は,2,0,0,0,0.000000
100,1,ば,2,0,0,0,0.000000
100,1,ぱ,1,0,0,0,0.000000
100,1,ひ,3,0,0,0,0.000000
100,1,ふ,3,1,1,1,1.000000
100,1,ぶ,1,1,0,1,0.000000
100,1,ぷ,1,0,0,0,0.000000
100,1,へ,2,0,0,0,0.000000
100,1,ぺ,1,0,0,0,0.000000
